"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Branca","Masculino","Solteiro(a)",4,21,510,0,0
"Preta","Masculino","Solteiro(a)",5,42,510,0,0
"Branca","Feminino","Solteiro(a)",2,18,510,0,0
"Parda","Masculino","Solteiro(a)",4,44,400,0,0
"Parda","Masculino","Solteiro(a)",3,20,150,0,0
"Branca","Feminino","Solteiro(a)",6,38,400,0,0
"Branca","Masculino","Solteiro(a)",3,43,510,0,0
"Branca","Feminino","Solteiro(a)",4,20,200,0,0
"Parda","Feminino","Solteiro(a)",4,22,510,0,0
"Branca","Feminino","Solteiro(a)",2,24,200,0,0
"Preta","Masculino","Solteiro(a)",3,42,500,0,0
"Parda","Feminino","Solteiro(a)",4,26,150,0,0
"Parda","Feminino","Solteiro(a)",4,34,200,0,0
"Parda","Masculino","Solteiro(a)",4,25,510,0,0
"Parda","Feminino","Solteiro(a)",2,47,400,0,0
"Parda","Masculino","Solteiro(a)",6,36,300,0,0
"Parda","Masculino","Solteiro(a)",3,46,510,0,0
"Parda","Masculino","Solteiro(a)",6,45,150,0,0
"Parda","Masculino","Solteiro(a)",3,38,200,0,0
"Branca","Masculino","Solteiro(a)",3,39,510,0,0
"Branca","Masculino","Solteiro(a)",5,35,510,0,0
"Parda","Feminino","Solteiro(a)",2,48,350,0,0
"Branca","Masculino","Viúvo(a)",5,53,50,0,0
"Branca","Feminino","Viúvo(a)",2,56,350,0,0
"Branca","Feminino","Viúvo(a)",4,55,450,0,0
"Branca","Feminino","Viúvo(a)",3,53,510,0,0
"Parda","Masculino","Viúvo(a)",5,48,300,0,0
"Branca","Masculino","Viúvo(a)",4,64,510,0,0
"Branca","Feminino","Solteiro(a)",3,30,255,0,0
"Parda","Masculino","Casado(a)",3,47,500,0,0
"Branca","Masculino","Casado(a)",4,60,510,0,0
"Branca","Feminino","Casado(a)",4,56,510,0,0
"Parda","Feminino","Casado(a)",7,32,510,0,0
"Parda","Masculino","Casado(a)",4,42,510,0,0
"Branca","Masculino","Casado(a)",3,25,510,0,0
"Branca","Feminino","Casado(a)",3,23,400,0,0
"Branca","Feminino","Casado(a)",2,30,510,0,0
"Branca","Feminino","Casado(a)",2,21,400,0,0
"Parda","Feminino","Casado(a)",3,56,380,0,0
"Preta","Feminino","Casado(a)",4,33,510,0,0
"Branca","Feminino","Casado(a)",6,44,510,0,0
"Parda","Feminino","Casado(a)",6,37,500,0,0
"Branca","Masculino","Casado(a)",3,42,510,0,0
"Parda","Feminino","Casado(a)",3,27,500,0,0
"Branca","Masculino","Casado(a)",3,30,510,0,0
"Parda","Feminino","Casado(a)",4,50,480,0,0
"Preta","Feminino","Casado(a)",3,49,510,0,0
"Parda","Feminino","Casado(a)",6,45,500,0,0
"Parda","Feminino","Casado(a)",4,30,510,0,0
"Branca","Feminino","Casado(a)",5,42,450,0,0
"Branca","Feminino","Casado(a)",3,29,510,0,0
"Branca","Feminino","Casado(a)",3,28,510,0,0
"Parda","Feminino","Casado(a)",3,45,500,0,0
"Parda","Feminino","Casado(a)",4,39,480,0,0
"Branca","Masculino","Casado(a)",3,64,510,0,0
"Branca","Masculino","Casado(a)",3,50,510,0,0
"Preta","Feminino","Casado(a)",4,36,500,0,0
"Preta","Masculino","Casado(a)",4,57,510,0,0
"Branca","Feminino","Casado(a)",2,37,510,0,0
"Branca","Masculino","Casado(a)",4,32,500,0,0
"Parda","Masculino","Casado(a)",5,55,510,0,0
"Parda","Masculino","Casado(a)",5,45,510,0,0
"Parda","Feminino","Casado(a)",4,39,510,0,0
"Branca","Masculino","Casado(a)",6,62,200,0,200
"Parda","Feminino","Casado(a)",4,19,510,0,0
"Preta","Masculino","Casado(a)",4,23,510,0,0
"Branca","Feminino","Casado(a)",4,34,510,0,0
"Branca","Feminino","Casado(a)",4,31,330,0,0
"Branca","Masculino","Casado(a)",3,27,510,0,0
"Branca","Feminino","Casado(a)",3,24,510,0,0
"Branca","Masculino","Casado(a)",5,42,510,0,0
"Branca","Feminino","Casado(a)",4,28,510,0,0
"Branca","Feminino","Casado(a)",4,20,400,0,0
"Parda","Masculino","Casado(a)",4,20,500,0,0
"Parda","Masculino","Casado(a)",5,32,500,0,0
"Parda","Masculino","Casado(a)",6,49,510,0,0
"Parda","Feminino","Casado(a)",3,27,510,0,0
"Parda","Feminino","Casado(a)",2,41,510,0,0
"Parda","Masculino","Casado(a)",2,36,510,0,0
"Parda","Feminino","Casado(a)",6,34,500,0,0
"Parda","Feminino","Casado(a)",3,25,500,0,0
"Parda","Feminino","Casado(a)",5,39,510,0,0
"Parda","Feminino","Desquitado(a)",5,41,510,0,0
"Parda","Feminino","Desquitado(a)",8,35,425,0,0
"Parda","Feminino","Desquitado(a)",4,27,400,0,0
"Branca","Feminino","Divorciado(a)",3,34,510,0,0
"Preta","Feminino","Divorciado(a)",1,55,510,0,0
"Branca","Feminino","Divorciado(a)",5,54,500,0,0
"Branca","Feminino","Divorciado(a)",5,51,510,0,0
"Branca","Feminino","Divorciado(a)",4,31,510,0,0
"Branca","Feminino","Divorciado(a)",3,52,510,0,0
